file,app,camera,blur,share,iteration,condition,name,avg_power_W,total_energy_J,total_time_s,EDP_Js,n_samples_power
results\teams_camera_off_2.csv,teams,off,,,2,teams_camera_off,teams_camera_off_2.csv,6.731180202906506,198.42974853515625,29.503,5854.272871032715,148
results\teams_camera_off_20.csv,teams,off,,,20,teams_camera_off,teams_camera_off_20.csv,5.598085073881438,166.17776489257812,29.698999999999998,4935.313439544678,149
results\teams_camera_off_21.csv,teams,off,,,21,teams_camera_off,teams_camera_off_21.csv,6.555086015660884,194.76043701171875,29.714,5787.11162536621,149
results\teams_camera_off_22.csv,teams,off,,,22,teams_camera_off,teams_camera_off_22.csv,5.677158963077452,166.2388458251953,29.295,4869.966988449097,147
results\teams_camera_off_23.csv,teams,off,,,23,teams_camera_off,teams_camera_off_23.csv,5.610446838189711,166.3505401611328,29.676,4936.618629821777,149
results\teams_camera_off_24.csv,teams,off,,,24,teams_camera_off,teams_camera_off_24.csv,5.750764842173125,170.5564270019604,29.668000000000003,5060.068076294162,149
results\teams_camera_off_25.csv,teams,off,,,25,teams_camera_off,teams_camera_off_25.csv,6.282538350761517,187.7765655517578,29.898,5614.143756866455,150
results\teams_camera_off_26.csv,teams,off,,,26,teams_camera_off,teams_camera_off_26.csv,5.542207406868764,163.48056030273438,29.505000000000003,4823.493931732178,148
results\teams_camera_off_27.csv,teams,off,,,27,teams_camera_off,teams_camera_off_27.csv,6.678223679659235,198.1664581298901,29.683,5882.1749766695275,149
results\teams_camera_off_28.csv,teams,off,,,28,teams_camera_off,teams_camera_off_28.csv,6.553343694227691,194.71936035157705,29.717,5786.475231567815,149
results\teams_camera_off_29.csv,teams,off,,,29,teams_camera_off,teams_camera_off_29.csv,5.943464930813096,176.5305938720776,29.702,5243.311699188449,149
